label,fp,dd,untainting,Explor SAT,Explor UNSAT,Explor other,Explor total,Explor time,CF SAT,CF UNSAT,CF other,CF total,CF time,Mem SAT,Mem UNSAT,Mem other,Mem total,Mem time,Insec SAT,Insec UNSAT,Insec other,Insec total,Insec time,Model total,Model time,Enum total,Enum time,enum_limit_reached,Total SAT,Total UNSAT,Total other,Total total,Total time,average query size, max query size,done checks,spared checks,paths,conditions,forks,unresolved_fork,resolved_forks,discarded,min_transient_dj,dba_instructions,x86instructions,addresses,merged,refused,aborted,wall time,MAX_DEPTH,MAX_PATH,TIMEOUT,store,canonical,mem_type,solver,bopt,transient_paths_pht,transient_paths_stl,pht_status,pht_dynamic,stl_status,max_spec_depth,violations,max_depth_reached,max_paths_reached,syscalls,solver_timeout_reached,enum_limit_reached,timeout_reached,interrupted,out_of_memory,exit_code
tea_encrypt_O0_main,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,593,1,33,33,0,0,33,0,4830,960,84,0,0,0,0.123157,0,0,inf,relational,1,row-map,boolector,0,0,0,NoPHT,Static,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
tea_encrypt_O1_main,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,226,1,32,32,0,0,32,0,4720,804,59,0,0,0,0.107033,0,0,inf,relational,1,row-map,boolector,0,0,0,NoPHT,Static,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
tea_encrypt_O2_main,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,226,1,32,32,0,0,32,0,4737,806,61,0,0,0,0.10901,0,0,inf,relational,1,row-map,boolector,0,0,0,NoPHT,Static,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
tea_encrypt_O3_main,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,226,1,32,32,0,0,32,0,4737,806,61,0,0,0,0.10718,0,0,inf,relational,1,row-map,boolector,0,0,0,NoPHT,Static,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
tea_encrypt_Of_main,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,226,1,32,32,0,0,32,0,4737,806,61,0,0,0,0.108537,0,0,inf,relational,1,row-map,boolector,0,0,0,NoPHT,Static,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
tea_encrypt_O0_main,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,1129,40,39,39,39,0,78,0,8087,1802,84,0,0,0,0.173284,0,0,inf,relational,1,row-map,boolector,0,39,0,ExplicitSmarter,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
tea_encrypt_O1_main,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,226,33,32,32,0,32,64,0,4784,836,59,0,0,0,0.110158,0,0,inf,relational,1,row-map,boolector,0,32,0,ExplicitSmarter,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
tea_encrypt_O2_main,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,226,33,32,32,0,32,64,0,4801,838,61,0,0,0,0.111173,0,0,inf,relational,1,row-map,boolector,0,32,0,ExplicitSmarter,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
tea_encrypt_O3_main,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,226,33,32,32,0,32,64,0,4801,838,61,0,0,0,0.111299,0,0,inf,relational,1,row-map,boolector,0,32,0,ExplicitSmarter,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
tea_encrypt_Of_main,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,226,33,32,32,0,32,64,0,4801,838,61,0,0,0,0.108781,0,0,inf,relational,1,row-map,boolector,0,32,0,ExplicitSmarter,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
